scientific_name,common_name,class,order,family,phylum,national_rank,top5,top10,protective_context_count,protective_chemical_count,warning_context_count,warning_chemical_count,broad_life_stage_category_count,eligible_state_count,state_occurrence_available,evidence_support,evidence_support_label,official_or_common_method_species,testing_priority,rank_scope,note
Rasbora heteromorpha,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,417,False,False,42,40,0,0,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0017127594103416,extended_greedy_order,
Ambystoma gracile,,Amphibia,Caudata,Ambystomatidae,Chordata,418,False,False,10,5,2,2,1,3,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0035352907011475,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Villosa delumbis,,Bivalvia,Unionoida,Unionidae,Mollusca,419,False,False,1,1,0,0,1,3,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.005098568874569,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Etheostoma lepidum,,Actinopterygii,Perciformes,Percidae,Chordata,420,False,False,8,5,0,0,1,3,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0036362310033982,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Acroperus harpae,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,421,False,False,1,1,0,0,1,5,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.003676073910944,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Procambarus clarkii,,Malacostraca,Decapoda,Cambaridae,Arthropoda,422,False,False,86,55,12,12,3,9,True,strong_50_plus,Strong (50+ protective contexts),False,0.002014156726076,extended_greedy_order,
Disparalona rostrata,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,423,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0028269233303949,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Cnesterodon decemmaculatus,,Actinopterygii,Cyprinodontiformes,Poeciliidae,Chordata,424,False,False,17,11,1,1,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0029055488042227,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Acroperus elongatus,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,425,False,False,3,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0028265687531445,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Caenis horaria,,Insecta,Ephemeroptera,Caenidae,Arthropoda,426,False,False,11,3,1,1,1,2,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0025593397431763,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Corynoneura sp.,,Insecta,Diptera,Chironomidae,Arthropoda,427,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0038099752461647,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Fallceon quilleri,,Insecta,Ephemeroptera,Baetidae,Arthropoda,428,False,False,1,1,1,1,1,3,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0049523837783564,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Aedes nigromaculis,,Insecta,Diptera,Culicidae,Arthropoda,429,False,False,11,11,0,0,1,11,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0047355871181076,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Physalaemus nattereri,,Amphibia,Anura,Leptodactylidae,Chordata,430,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0043835958104963,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Diaphanosoma brachyurum,,Branchiopoda,Cladocera,Sididae,Arthropoda,431,False,False,7,7,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0028969292838362,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Culex sp.,,Insecta,Diptera,Culicidae,Arthropoda,432,False,False,10,10,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0027189553343994,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Spicodiaptomus chelospinus,,Maxillopoda,Calanoida,Diaptomidae,Arthropoda,433,False,False,9,9,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0031546759880581,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Culex nigripalpus,,Insecta,Diptera,Culicidae,Arthropoda,434,False,False,7,7,0,0,1,7,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0031124930434595,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Rana sierrae,,Amphibia,Anura,Ranidae,Chordata,435,False,False,8,3,0,0,1,1,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0029271709448116,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Carassius auratus,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,436,False,False,338,223,45,37,4,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0008271871693936,extended_greedy_order,
Lemna sp.,,Liliopsida,Arales,Lemnaceae,Magnoliophyta,437,False,False,7,6,5,3,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.003181902414488,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Obliquaria reflexa,,Bivalvia,Unionoida,Unionidae,Mollusca,438,False,False,7,7,0,0,1,20,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0093220126735828,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Anopheles culicifacies,,Insecta,Diptera,Culicidae,Arthropoda,439,False,False,10,6,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0023764388492402,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Aedes triseriatus,,Insecta,Diptera,Culicidae,Arthropoda,440,False,False,8,3,0,0,2,36,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0089582427134346,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Poecilia latipinna,,Actinopterygii,Cyprinodontiformes,Poeciliidae,Chordata,441,False,False,11,10,1,1,1,7,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0029517546891708,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Camptocercus lilljeborgi,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,442,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.003899219674191,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Asellus militaris,,Malacostraca,Isopoda,Asellidae,Arthropoda,443,False,False,6,5,0,0,3,1,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0045201217631712,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Pleuroxus truncatus,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,444,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0027566550976634,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Physalaemus gracilis,,Amphibia,Anura,Leptodactylidae,Chordata,445,False,False,2,1,1,1,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0043428716041296,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Ctenopharyngodon idella,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,446,False,False,65,47,8,6,3,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.001352800369415,extended_greedy_order,
Physalaemus biligonigerus,,Amphibia,Anura,Leptodactylidae,Chordata,447,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0043425453945268,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Rana aurora,,Amphibia,Anura,Ranidae,Chordata,448,False,False,15,6,2,2,2,3,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0032189325540962,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Bufo quercicus,,Amphibia,Anura,Bufonidae,Chordata,449,False,False,1,1,1,1,1,7,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0056940566999628,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Streptocephalus sudanicus,,Branchiopoda,Anostraca,Streptocephalidae,Arthropoda,450,False,False,9,9,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0017630749147433,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Villosa villosa,,Bivalvia,Unionoida,Unionidae,Mollusca,451,False,False,2,2,0,0,2,2,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0047451100626057,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Vallisneria americana,,Liliopsida,Hydrocharitales,Hydrocharitaceae,Magnoliophyta,452,False,False,22,18,6,6,1,28,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0085071187187321,extended_greedy_order,
Bufo cognatus,,Amphibia,Anura,Bufonidae,Chordata,453,False,False,2,1,0,0,1,16,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0055434902955957,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Diaphanosoma birgei,,Branchiopoda,Cladocera,Sididae,Arthropoda,454,False,False,4,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.003980730394411,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Hydropsyche pellucidula,,Insecta,Trichoptera,Hydropsychidae,Arthropoda,455,False,False,12,10,1,1,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0022967473074891,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Salvelinus confluentus,,Actinopterygii,Salmoniformes,Salmonidae,Chordata,456,False,False,11,5,0,0,1,3,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0047103030243616,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Bufo terrestris,,Amphibia,Anura,Bufonidae,Chordata,457,False,False,1,1,0,0,1,8,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0058823728530884,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Culiseta incidens,,Insecta,Diptera,Culicidae,Arthropoda,458,False,False,3,3,0,0,1,10,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0044484683935697,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Isonychia bicolor,,Insecta,Ephemeroptera,Isonychiidae,Arthropoda,459,False,False,9,6,0,0,1,19,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0051168913263101,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Diaphanosoma excisum,,Branchiopoda,Cladocera,Sididae,Arthropoda,460,False,False,3,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0028039740287585,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Branchinecta lynchi,,Branchiopoda,Anostraca,Branchinectidae,Arthropoda,461,False,False,4,3,0,0,1,2,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0043246793366291,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Eucyclops sp.,,Maxillopoda,Cyclopoida,Cyclopidae,Arthropoda,462,False,False,8,8,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0022597792320176,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Dugesia dorotocephala,,Turbellaria,Tricladida,Planariidae,Platyhelminthes,463,False,False,25,18,9,9,2,5,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.003473907401055,extended_greedy_order,
Eulimnogammarus toletanus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,464,False,False,5,2,1,1,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0041706107408787,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Hydropsyche californica,,Insecta,Trichoptera,Hydropsychidae,Arthropoda,465,False,False,7,7,0,0,2,1,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0023930979600423,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Poecilia sp.,,Actinopterygii,Cyprinodontiformes,Poeciliidae,Chordata,466,False,False,7,7,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.002429605985692,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Orconectes immunis,,Malacostraca,Decapoda,Cambaridae,Arthropoda,467,False,False,25,20,4,4,1,20,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0094917751597267,extended_greedy_order,
Phaenopsectra sp.,,Insecta,Diptera,Chironomidae,Arthropoda,468,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0025325789276706,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Bufo canorus,,Amphibia,Anura,Bufonidae,Chordata,469,False,False,2,1,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0041670963515535,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Glyptotendipes barbipes,,Insecta,Diptera,Chironomidae,Arthropoda,470,False,False,2,1,0,0,1,10,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0058430866444011,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Kiefferulus sp.,,Insecta,Diptera,Chironomidae,Arthropoda,471,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0035690306078612,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Asellus meridianus,,Malacostraca,Isopoda,Asellidae,Arthropoda,472,False,False,6,3,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0041858961687582,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Psectrocladius sp.,,Insecta,Diptera,Chironomidae,Arthropoda,473,False,False,1,1,9,9,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0025277109933959,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Villosa lienosa,,Bivalvia,Unionoida,Unionidae,Mollusca,474,False,False,2,1,0,0,2,9,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0064290245262242,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Camptocercus rectirostris,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,475,False,False,1,1,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.003962197595978,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Streptocephalus proboscideus,,Branchiopoda,Anostraca,Streptocephalidae,Arthropoda,476,False,False,13,13,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0026994297506894,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Pleuroxus denticulatus,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,477,False,False,1,1,0,0,1,16,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0073248035677476,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Chydorus ovalis,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,478,False,False,4,3,1,1,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0026732821123391,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Glyptotendipes pallens,,Insecta,Diptera,Chironomidae,Arthropoda,479,False,False,2,1,1,1,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0036169802143657,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Bufo arabicus,,Amphibia,Anura,Bufonidae,Chordata,480,False,False,6,2,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0039384937038508,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Barbus ticto,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,481,False,False,22,15,3,3,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0023732280609508,extended_greedy_order,
Brachythemis contaminata,,Insecta,Odonata,Libellulidae,Arthropoda,482,False,False,4,4,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0023459642054709,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Catostomus commersoni,,Actinopterygii,Cypriniformes,Catostomidae,Chordata,483,False,False,68,39,5,4,2,37,True,strong_50_plus,Strong (50+ protective contexts),False,0.0056304908145665,extended_greedy_order,
Oncorhynchus sp.,,Actinopterygii,Salmoniformes,Salmonidae,Chordata,484,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0037793605434593,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Procloeon sp.,,Insecta,Ephemeroptera,Baetidae,Arthropoda,485,False,False,4,4,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0028572279212894,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Caenis miliaria,,Insecta,Ephemeroptera,Caenidae,Arthropoda,486,False,False,2,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0022732094268717,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Physalaemus olfersii,,Amphibia,Anura,Leptodactylidae,Chordata,487,False,False,2,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0042660158141475,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Culex fatigans,,Insecta,Diptera,Culicidae,Arthropoda,488,False,False,9,8,0,0,1,16,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0040111242301949,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Caenis moesta,,Insecta,Ephemeroptera,Caenidae,Arthropoda,489,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0039082252525842,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Eurycercus lamellatus,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,490,False,False,2,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0026289013005602,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Rutilus kutum,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,491,False,False,5,2,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0039469610500261,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Chaetogammarus marinus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,492,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0041265714385827,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Pentaneura sp.,,Insecta,Diptera,Chironomidae,Arthropoda,493,False,False,2,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0034948923849719,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Cyprinus sp.,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,494,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0027638642440099,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Branchinecta lindahli,,Branchiopoda,Anostraca,Branchinectidae,Arthropoda,495,False,False,1,1,0,0,1,4,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0046669661189074,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Rana dalmatina,,Amphibia,Anura,Ranidae,Chordata,496,False,False,10,1,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0037256314351004,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Planorbella duryi,,Gastropoda,Basommatophora,Planorbidae,Mollusca,497,False,False,1,1,0,0,1,5,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0050836053639784,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Oryzias melastigma,,Actinopterygii,Beloniformes,Adrianichthyidae,Chordata,498,False,False,1,1,1,1,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0028007933573837,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Asellus racovitzai,,Malacostraca,Isopoda,Asellidae,Arthropoda,499,False,False,3,3,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0025428336067795,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Chaoborus obscuripes,,Insecta,Diptera,Chaoboridae,Arthropoda,500,False,False,18,5,1,1,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0019900673157372,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Hydropsyche angustipennis,,Insecta,Trichoptera,Hydropsychidae,Arthropoda,501,False,False,6,6,4,2,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0027080256007191,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Bufo bufo,,Amphibia,Anura,Bufonidae,Chordata,502,False,False,17,7,2,2,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0019577482135735,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Anopheles vagus,,Insecta,Diptera,Culicidae,Arthropoda,503,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0027740249224128,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Peracantha truncata,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,504,False,False,4,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0037477097970811,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Stictochironomus sticticus,,Insecta,Diptera,Chironomidae,Arthropoda,505,False,False,4,2,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0037572185250933,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Bufo gargarizans,,Amphibia,Anura,Bufonidae,Chordata,506,False,False,23,7,1,1,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0027950670137106,extended_greedy_order,
Hydropsyche recurvata,,Insecta,Trichoptera,Hydropsychidae,Arthropoda,507,False,False,4,4,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0040426095943062,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Palaemon pugio,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,508,False,False,8,5,0,0,1,7,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0034006134710919,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Chydorus sp.,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,509,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0025955187427792,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Caenis maxima,,Insecta,Ephemeroptera,Caenidae,Arthropoda,510,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0027463367845149,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Dikerogammarus villosus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,511,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0041095638606792,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Caenis diminuta,,Insecta,Ephemeroptera,Caenidae,Arthropoda,512,False,False,2,2,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0040993855094748,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Xenopus sp.,,Amphibia,Anura,Pipidae,Chordata,513,False,False,10,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0019795066686028,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Oryzias dancena,,Actinopterygii,Beloniformes,Adrianichthyidae,Chordata,514,False,False,1,1,0,0,3,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0039158273547047,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Einfeldia natchitocheae,,Insecta,Diptera,Chironomidae,Arthropoda,515,False,False,2,2,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0025831938417417,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Anopheles balabacensis,,Insecta,Diptera,Culicidae,Arthropoda,516,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0027565707858566,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Anopheles maculatus,,Insecta,Diptera,Culicidae,Arthropoda,517,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0038953391713277,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Anopheles farauti,,Insecta,Diptera,Culicidae,Arthropoda,518,False,False,2,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0027636961026237,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Anopheles sundaicus,,Insecta,Diptera,Culicidae,Arthropoda,519,False,False,4,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0027543044873297,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Alona glabra,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,520,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0036970904215873,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Bufo anderssoni,,Amphibia,Anura,Bufonidae,Chordata,521,False,False,3,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0038545708631523,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Oncorhynchus masou,,Actinopterygii,Salmoniformes,Salmonidae,Chordata,522,False,False,5,4,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0021197963582507,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Clinotanypus pinguis,,Insecta,Diptera,Chironomidae,Arthropoda,523,False,False,2,2,0,0,1,5,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0031483089986758,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Alona quadrangularis,,Branchiopoda,Diplostraca,Chydoridae,Arthropoda,524,False,False,1,1,0,0,1,3,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0030844965562554,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Anopheles stephensi,,Insecta,Diptera,Culicidae,Arthropoda,525,False,False,62,33,1,1,2,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0010916374116363,extended_greedy_order,
Macropelopia sp.,,Insecta,Diptera,Chironomidae,Arthropoda,526,False,False,2,1,1,1,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0024124942789745,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Cricotopus trifasciatus,,Insecta,Diptera,Chironomidae,Arthropoda,527,False,False,2,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0034002653991419,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Pseudacris feriarum,,Amphibia,Anura,Hylidae,Chordata,528,False,False,3,1,0,0,1,12,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0065991637480467,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
